locus,GC_content,protein_length,similarity_to_effectors_vs_non_effectors,A_full_protein,A_N-terminus,C_full_protein,C_N-terminus,D_full_protein,D_N-terminus,E_full_protein,E_N-terminus,F_full_protein,F_N-terminus,G_full_protein,G_N-terminus,H_full_protein,H_N-terminus,I_full_protein,I_N-terminus,K_full_protein,K_N-terminus,L_full_protein,L_N-terminus,M_full_protein,M_N-terminus,N_full_protein,N_N-terminus,P_full_protein,P_N-terminus,Q_full_protein,Q_N-terminus,R_full_protein,R_N-terminus,S_full_protein,S_N-terminus,T_full_protein,T_N-terminus,V_full_protein,V_N-terminus,W_full_protein,W_N-terminus,Y_full_protein,Y_N-terminus,hydrophobicity_N-terminus_BLAS910101,amphiphilicity_N-terminus_MITS020101,hydrophilicity_N-terminus_KUHL950101,hydrophobicity_N-terminus_CIDH920105,homology_to_effectors_(bit_score),hits_to_effectors,homology_to_mammal_pathogens_effectors_(bit_score),hits_to_mammal_pathogens_effectors,homology_to_phytopathogens_effectors_(bit_score),hits_to_phytopathogens_effectors,SecYEG_existence_(SignalP),SecYEG_score_(SignalP),distance_from_closest_effector,effectors_in_closest_5_ORFs,effectors_in_closest_10_ORFs,effectors_in_closest_15_ORFs,effectors_in_closest_20_ORFs,effectors_in_closest_25_ORFs,effectors_in_closest_30_ORFs,is_effector
ACCM_0021,0.6738738738738739,184,0.002094960648844374,0.10869565217391304,0.12,0.0,0.0,0.07608695652173914,0.08,0.021739130434782608,0.0,0.03260869565217391,0.04,0.08695652173913042,0.04,0.021739130434782608,0.0,0.05434782608695652,0.04,0.03804347826086957,0.04,0.09782608695652174,0.08,0.016304347826086956,0.08,0.02717391304347826,0.04,0.04891304347826087,0.0,0.07065217391304347,0.04,0.06521739130434782,0.12,0.07608695652173914,0.12,0.03804347826086957,0.04,0.07065217391304347,0.08,0.016304347826086956,0.0,0.03260869565217391,0.04,0.5014799999999999,0.6931999999999999,0.936,0.0308,0.0,0,0.0,0,0.0,0,0,0.16,161,0,0,0,0,0,0,no
ACCM_0022,0.6491228070175439,265,0.012365448707359214,0.13584905660377358,0.24,0.0,0.0,0.07547169811320754,0.0,0.03773584905660377,0.0,0.03018867924528302,0.04,0.06792452830188679,0.04,0.011320754716981131,0.0,0.03773584905660377,0.04,0.1018867924528302,0.04,0.11320754716981132,0.24,0.0037735849056603774,0.04,0.04150943396226415,0.04,0.049056603773584916,0.04,0.045283018867924525,0.0,0.03773584905660377,0.08,0.049056603773584916,0.12,0.03018867924528302,0.0,0.09056603773584904,0.04,0.007547169811320755,0.0,0.0339622641509434,0.0,0.6267199999999999,0.3428,0.7992,0.25719999999999993,0.0,0,0.0,0,0.0,0,1,0.8859999999999999,162,0,0,0,0,0,0,no
ACCM_0023,0.7139208173690932,521,0.005795276752318307,0.22072936660268716,0.12,0.0,0.0,0.02879078694817658,0.0,0.05950095969289827,0.0,0.01727447216890595,0.08,0.08637236084452975,0.12,0.007677543186180422,0.0,0.05182341650671785,0.04,0.01343570057581574,0.0,0.07869481765834932,0.12,0.023032629558541268,0.08,0.023032629558541268,0.0,0.015355086372360844,0.0,0.08061420345489444,0.0,0.0690978886756238,0.12,0.07485604606525911,0.04,0.032629558541266784,0.04,0.1036468330134357,0.24,0.005758157389635317,0.0,0.007677543186180422,0.0,0.6543199999999999,0.29400000000000004,0.7456,0.4548,0.0,0,0.0,0,0.0,0,0,0.205,163,0,0,0,0,0,0,no
ACCM_0024,0.6861861861861862,221,0.033964151547402344,0.1085972850678733,0.04,0.0,0.0,0.022624434389140267,0.0,0.04072398190045249,0.16,0.049773755656108594,0.12,0.11312217194570134,0.04,0.004524886877828055,0.0,0.08597285067873303,0.0,0.00904977375565611,0.0,0.12669683257918551,0.16,0.03167420814479638,0.16,0.01809954751131222,0.04,0.045248868778280535,0.0,0.022624434389140267,0.0,0.049773755656108594,0.0,0.049773755656108594,0.04,0.06787330316742081,0.12,0.12217194570135745,0.08,0.01809954751131222,0.04,0.013574660633484163,0.0,0.61944,0.4804,0.8247999999999999,0.2876,0.0,0,0.0,0,0.0,0,0,0.1,164,0,0,0,0,0,0,no
ACCM_0025,0.6893295561850803,352,0.020624567514655884,0.10227272727272728,0.04,0.002840909090909091,0.0,0.05113636363636364,0.08,0.06818181818181818,0.04,0.017045454545454544,0.0,0.08806818181818182,0.16,0.01988636363636364,0.0,0.07670454545454546,0.16,0.022727272727272728,0.0,0.13068181818181818,0.08,0.011363636363636364,0.04,0.017045454545454544,0.0,0.048295454545454544,0.08,0.05681818181818181,0.08,0.08806818181818182,0.08,0.05681818181818181,0.04,0.03693181818181818,0.04,0.09090909090909093,0.04,0.0,0.0,0.014204545454545452,0.04,0.5421199999999999,0.5492,0.8715999999999999,0.055999999999999946,0.0,0,0.0,0,0.0,0,0,0.10400000000000001,165,0,0,0,0,0,0,no
ACCM_0026,0.7006610009442871,705,0.015203010683620337,0.10921985815602836,0.12,0.00851063829787234,0.0,0.07375886524822695,0.04,0.06099290780141844,0.04,0.036879432624113466,0.04,0.08936170212765958,0.12,0.02269503546099291,0.08,0.03404255319148936,0.08,0.01276595744680851,0.0,0.10638297872340426,0.0,0.03120567375886525,0.08,0.01702127659574468,0.0,0.053900709219858164,0.12,0.04397163120567376,0.0,0.08226950354609927,0.04,0.056737588652482275,0.08,0.04539007092198582,0.04,0.0851063829787234,0.12,0.014184397163120569,0.0,0.015602836879432626,0.0,0.5556,0.2648,0.8048000000000001,0.11839999999999995,0.0,0,0.0,0,0.0,0,0,0.124,166,0,0,0,0,0,0,no
ACCM_0027,0.7520525451559934,405,0.010380607254386416,0.24444444444444444,0.32,0.0024691358024691358,0.0,0.019753086419753086,0.0,0.007407407407407408,0.04,0.02716049382716049,0.0,0.11851851851851852,0.08,0.019753086419753086,0.0,0.02469135802469136,0.0,0.0049382716049382715,0.0,0.1728395061728395,0.2,0.022222222222222227,0.04,0.0024691358024691358,0.0,0.04197530864197531,0.12,0.02469135802469136,0.04,0.056790123456790124,0.0,0.05432098765432099,0.0,0.04197530864197531,0.08,0.07160493827160494,0.08,0.02469135802469136,0.0,0.01728395061728395,0.0,0.6544,0.1008,0.7556,0.1388,0.0,0,0.0,0,0.0,0,0,0.18600000000000003,167,0,0,0,0,0,0,no
ACCM_0028,0.7223851417399805,340,0.0007516383817311317,0.14411764705882352,0.04,0.005882352941176471,0.0,0.04411764705882353,0.08,0.05,0.04,0.017647058823529408,0.04,0.07058823529411765,0.04,0.03823529411764706,0.0,0.032352941176470584,0.08,0.005882352941176471,0.0,0.1264705882352941,0.16,0.023529411764705882,0.08,0.008823529411764706,0.08,0.09117647058823528,0.04,0.05,0.04,0.10294117647058824,0.08,0.05,0.04,0.041176470588235294,0.08,0.07058823529411765,0.08,0.014705882352941175,0.0,0.011764705882352941,0.0,0.5477199999999999,0.2968,0.8856000000000002,0.14839999999999998,0.0,0,0.0,0,0.0,0,0,0.15,168,0,0,0,0,0,0,no
ACCM_0029,0.7280163599182005,162,0.0007322627508035418,0.16666666666666666,0.16,0.02469135802469136,0.08,0.0925925925925926,0.0,0.05555555555555555,0.0,0.02469135802469136,0.0,0.08024691358024691,0.04,0.061728395061728385,0.08,0.018518518518518517,0.08,0.0,0.0,0.09876543209876544,0.04,0.0308641975308642,0.12,0.018518518518518517,0.08,0.05555555555555555,0.08,0.02469135802469136,0.0,0.10493827160493828,0.08,0.02469135802469136,0.04,0.02469135802469136,0.04,0.06790123456790123,0.08,0.0,0.0,0.02469135802469136,0.0,0.56204,0.3120000000000001,0.8148000000000001,0.2824,0.0,0,0.0,0,0.0,0,0,0.317,169,0,0,0,0,0,0,no
ACCM_0030,0.525679758308157,330,-0.012698892512451085,0.1,0.04,0.006060606060606061,0.0,0.05757575757575757,0.0,0.045454545454545456,0.04,0.02424242424242424,0.12,0.09393939393939392,0.08,0.027272727272727268,0.0,0.048484848484848485,0.16,0.03636363636363636,0.08,0.07272727272727272,0.12,0.021212121212121213,0.04,0.045454545454545456,0.08,0.03939393939393939,0.0,0.054545454545454536,0.0,0.08484848484848485,0.08,0.1,0.04,0.048484848484848485,0.0,0.060606060606060615,0.04,0.01818181818181818,0.04,0.015151515151515154,0.04,0.6392,1.0199999999999998,0.8076000000000001,0.5108,0.0,0,144.0,1,0.0,0,0,0.16899999999999998,170,0,0,0,0,0,0,?
ACCM_0031,0.7503429355281207,485,-0.00010478496820595652,0.2020618556701031,0.12,0.002061855670103093,0.04,0.05360824742268041,0.0,0.05154639175257732,0.04,0.02268041237113402,0.0,0.08041237113402062,0.0,0.010309278350515464,0.0,0.01443298969072165,0.0,0.002061855670103093,0.0,0.13814432989690725,0.24,0.00824742268041237,0.12,0.00824742268041237,0.0,0.05154639175257732,0.16,0.06391752577319587,0.0,0.1134020618556701,0.08,0.05154639175257732,0.04,0.0288659793814433,0.12,0.06597938144329897,0.04,0.012371134020618556,0.0,0.01855670103092784,0.0,0.6328399999999998,0.2468,0.8104,0.24719999999999995,0.0,0,0.0,0,0.0,0,1,0.597,171,0,0,0,0,0,0,no
ACCM_0032,0.7013560391043835,1056,0.02331095098512957,0.14772727272727273,0.12,0.0018939393939393942,0.0,0.032196969696969696,0.0,0.04166666666666666,0.0,0.05113636363636364,0.2,0.08333333333333333,0.04,0.006628787878787879,0.0,0.043560606060606064,0.16,0.01231060606060606,0.0,0.10700757575757576,0.08,0.04071969696969697,0.04,0.023674242424242424,0.0,0.05965909090909091,0.08,0.048295454545454544,0.04,0.06912878787878787,0.08,0.060606060606060615,0.0,0.04924242424242424,0.0,0.10132575757575757,0.12,0.006628787878787879,0.04,0.013257575757575758,0.0,0.7508400000000001,0.5232,0.6796,0.7804000000000001,0.0,0,0.0,0,0.0,0,0,0.16399999999999998,172,0,0,0,0,0,0,no
ACCM_0033,0.7579672695951766,386,0.005186908004252477,0.20984455958549225,0.44,0.0025906735751295338,0.04,0.056994818652849735,0.08,0.049222797927461134,0.04,0.01813471502590673,0.0,0.07772020725388601,0.04,0.0051813471502590676,0.0,0.031088082901554407,0.0,0.0,0.0,0.07772020725388601,0.12,0.015544041450777204,0.04,0.0025906735751295338,0.0,0.06735751295336788,0.08,0.08808290155440414,0.04,0.10362694300518134,0.0,0.03626943005181347,0.0,0.03367875647668394,0.04,0.10621761658031087,0.04,0.007772020725388602,0.0,0.010362694300518135,0.0,0.5828399999999998,0.1008,0.8172000000000001,0.018800000000000008,0.0,0,0.0,0,0.0,0,1,0.643,173,0,0,0,0,0,0,no
ACCM_0034,0.6976744186046512,257,0.020177270202695118,0.10116731517509728,0.04,0.011673151750972765,0.04,0.0622568093385214,0.0,0.07392996108949416,0.12,0.019455252918287938,0.04,0.07782101167315175,0.04,0.0311284046692607,0.04,0.04669260700389105,0.08,0.0311284046692607,0.0,0.13618677042801555,0.04,0.02334630350194553,0.0,0.011673151750972765,0.04,0.05447470817120623,0.12,0.03501945525291829,0.0,0.09727626459143968,0.16,0.04669260700389105,0.12,0.0311284046692607,0.0,0.0933852140077821,0.12,0.0038910505836575885,0.0,0.011673151750972765,0.0,0.47364,0.6024,0.9376,0.02800000000000001,0.0,0,0.0,0,0.0,0,0,0.128,174,0,0,0,0,0,0,no
ACCM_0035,0.7101038715769594,352,0.01866858158059456,0.14204545454545456,0.04,0.011363636363636364,0.0,0.03977272727272727,0.0,0.06534090909090909,0.0,0.02556818181818182,0.0,0.08238636363636362,0.16,0.04261363636363636,0.0,0.04261363636363636,0.12,0.008522727272727272,0.0,0.11931818181818182,0.2,0.03409090909090909,0.12,0.011363636363636364,0.0,0.04261363636363636,0.04,0.05113636363636364,0.04,0.07670454545454546,0.08,0.05397727272727273,0.12,0.045454545454545456,0.0,0.08522727272727272,0.08,0.011363636363636364,0.0,0.008522727272727272,0.0,0.6426799999999999,0.246,0.75,0.3308,0.0,0,0.0,0,0.0,0,0,0.151,175,0,0,0,0,0,0,no
ACCM_0037,0.7233038348082595,564,-0.014784530854646122,0.16312056737588654,0.04,0.015957446808510637,0.0,0.031914893617021274,0.0,0.030141843971631208,0.04,0.01950354609929078,0.08,0.10460992907801417,0.0,0.031914893617021274,0.04,0.02127659574468085,0.0,0.007092198581560284,0.04,0.0549645390070922,0.12,0.010638297872340424,0.04,0.015957446808510637,0.0,0.16312056737588654,0.2,0.023049645390070917,0.04,0.1400709219858156,0.16,0.062056737588652475,0.04,0.0425531914893617,0.04,0.05319148936170213,0.12,0.0035460992907801413,0.0,0.0053191489361702135,0.0,0.5505599999999998,0.6976,0.8856,0.17079999999999998,0.0,0,0.0,0,0.0,0,0,0.221,176,0,0,0,0,0,0,no
